title,title_normalized,description,release_date,total_duration,songs_count,cover_image_url,spotify_url,artist_id
nadie sabe lo que va a pasar mañana,nadie sabe lo que va a pasar manana,Back western once teach.,2023-10-13,00:38:18,10,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,https://open.spotify.com/album/4FftCsAcXXD1nFO9RFUNFO,1
Un Verano Sin Ti,un verano sin ti,Nature vote take act.,2022-05-06,00:35:28,10,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5,1
EL ÚLTIMO TOUR DEL MUNDO,el ultimo tour del mundo,Without star inside seek.,2020-11-27,00:29:01,10,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,https://open.spotify.com/album/2d9BCZeAAhiZWPpbX9aPCW,1
LAS QUE NO IBAN A SALIR,las que no iban a salir,Have own picture. Drug two hit your.,2020-05-10,00:26:31,9,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,https://open.spotify.com/album/4gvQO5mEuhbMSrLIuwXkmz,1
YHLQMDLG,yhlqmdlg,Consumer rock under person why among their.,2020-02-29,00:28:45,10,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,https://open.spotify.com/album/5lJqux7orBlA1QzyiBGti1,1
X 100PRE,x 100pre,Anything center government sea note decade we.,2018-12-23,00:33:22,10,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,https://open.spotify.com/album/7CjJb2mikwAWA1V6kewFBF,1
ADIVINO,adivino,Peace blood toward prepare day night.,2024-04-25,00:04:38,1,https://i.scdn.co/image/ab67616d0000b273b41f34aa51be675c5cfd3d94,https://open.spotify.com/album/3sRyLQf04m9vm40JNRFiCl,1
UN PREVIEW,un preview,Nation cut film purpose beautiful your.,2023-09-25,00:02:45,1,https://i.scdn.co/image/ab67616d0000b273c1156c6f6dedd4b9bdf89428,https://open.spotify.com/album/72GhGik5fsSeFkgpjsllVj,1
K-POP,k-pop,Grow food between.,2023-07-21,00:03:05,1,https://i.scdn.co/image/ab67616d0000b273893489768de0c42b4d217b82,https://open.spotify.com/album/10eNMeTimUzAKLhCOpIUlb,1
ESTRELLA,estrella,Area not none president cut affect guess whose.,2023-08-28,00:30:24,10,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,https://open.spotify.com/album/0SoJvPHbKVhvmVJOp3kzp3,2
PARAÍSO,paraiso,Among appear expert everything data.,2022-11-03,00:30:58,10,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,https://open.spotify.com/album/7b3PrkHcWx17AQwlI2M1Uc,2
MICRODOSIS,microdosis,Quality action decision age.,2022-04-01,00:28:02,10,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3,https://open.spotify.com/album/0QLDQG7Jx78rEUDW03IhHC,2
Primer Dia de Clases,primer dia de clases,Film house near. Special never them another soon.,2021-02-05,00:33:24,10,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,https://open.spotify.com/album/5r8T7S23cVDSd7a045h4N5,2
NÚMERO TELEFÓNICO,numero telefonico,Audience keep school television word.,2024-04-25,00:03:10,1,https://i.scdn.co/image/ab67616d0000b273944e0ba27ff8f1cf2b10bf9f,https://open.spotify.com/album/246YRyS6ff1E3N3xp1xBUb,2
Textos Fríos,textos frios,Treatment bed walk industry.,2024-04-24,00:04:18,1,https://i.scdn.co/image/ab67616d0000b2732e9b97a01717b0db3b04c31a,https://open.spotify.com/album/3MBeWTIl3JTz0aSTGmsMEF,2
Bien Loco,bien loco,Cover training step small too mother.,2024-04-18,00:03:32,1,https://i.scdn.co/image/ab67616d0000b2739913ad8c09b67e9a302c41eb,https://open.spotify.com/album/1qgOSPbkZvvTSqaAwa8T0m,2
Cafe Malibú,cafe malibu,Thousand relationship key board government.,2023-07-20,00:04:20,1,https://i.scdn.co/image/ab67616d0000b27384e7e85c7ac6d990dcab5802,https://open.spotify.com/album/68Qm7k0mDa6ta4mbVD9d2n,2
Donde CRJ (Remix),donde crj (remix),Project quickly challenge run.,2023-05-19,00:04:16,1,https://i.scdn.co/image/ab67616d0000b273ea9388356f2b2a853b71665a,https://open.spotify.com/album/4m0EGRYRzekBkg9pVRNrKN,2
