title,title_normalized,genre,release_date,duration,cover_image,likes,times_played,album_id,link
NADIE SABE,nadie sabe,reggaeton,2023-10-13,06:19,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,135,99850,1,https://open.spotify.com/track/23d8v6tU6lR77pFKsApMtF
MONACO,monaco,reggaeton,2023-10-13,04:27,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,202,85646,1,https://open.spotify.com/track/4MjDJD8cW7iVeWInc2Bdyj
FINA,fina,reggaeton,2023-10-13,03:36,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,694,18786,1,https://open.spotify.com/track/3nNmRE0DxHC6ZaKkrpUumS
HIBIKI,hibiki,reggaeton,2023-10-13,03:28,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,128,36004,1,https://open.spotify.com/track/4qSEvFGCpde73gqIuq3sho
MR. OCTOBER,mr. october,reggaeton,2023-10-13,03:09,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,450,88383,1,https://open.spotify.com/track/1ODFVLQszq0hCOdZtqV5wq
CYBERTRUCK,cybertruck,reggaeton,2023-10-13,03:11,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,787,81992,1,https://open.spotify.com/track/4Jc7252S1P99DjQ1lNGEOc
VOU 787,vou 787,reggaeton,2023-10-13,02:03,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,178,44648,1,https://open.spotify.com/track/0rDQZJtSGgsB2rdkObpdFa
SEDA,seda,reggaeton,2023-10-13,03:10,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,655,56279,1,https://open.spotify.com/track/1YnChEM51BVZ5dRhbVFEMl
GRACIAS POR NADA,gracias por nada,reggaeton,2023-10-13,02:57,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,527,56944,1,https://open.spotify.com/track/1U3A66OHQyTu4N2QTMsP86
TELEFONO NUEVO,telefono nuevo,reggaeton,2023-10-13,05:54,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,601,21506,1,https://open.spotify.com/track/01ppKlDRCmPpusO3yNrSRY
Moscow Mule,moscow mule,reggaeton,2022-05-06,04:05,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,806,57904,2,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
Después de la Playa,despues de la playa,reggaeton,2022-05-06,03:50,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,657,37109,2,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
